제목,1열
에어팟 맥스,https://www.coupang.com/vp/products/8335416769
애플워치 se 2세대,https://www.coupang.com/vp/products/8336500238
LG 모니터 32GN50R,https://www.coupang.com/vp/products/7802327624
아이폰16 pro,https://www.coupang.com/vp/products/8335434891
갤럭시 버즈3 프로,https://www.coupang.com/vp/products/8145200009
갤럭시북4 15.6인치,https://www.coupang.com/vp/products/7991194687
에어팟 프로 2세대,https://www.coupang.com/vp/products/7608804797
다이슨 v8 청소기,https://www.coupang.com/vp/products/7610643441
로지텍 102 마우스,https://www.coupang.com/vp/products/8145067451
갤럭시 워치6 44mm,https://www.coupang.com/vp/products/7405993243
아이패드 에어11세대 128GB,https://www.coupang.com/vp/products/8134826732
닌텐도 스위치 HAC-001,https://www.coupang.com/vp/products/272270135
플스5 슬림 디지털 에디션,https://www.coupang.com/vp/products/8156974822
로지텍 USB 유선 일반형 키보드,https://www.coupang.com/vp/products/132687601
브리츠 BA-R9 사운드바,https://www.coupang.com/vp/products/1020744
앱코 헤드셋 N550 ENC,https://www.coupang.com/vp/products/172740098
삼성전자 T7 Portable,https://www.coupang.com/vp/products/1593334322
Apple 2024 맥북 에어 13 M3,https://www.coupang.com/vp/products/7975088162
샤오미 4K UHD 스마트 TV,https://www.coupang.com/vp/products/7692656648
삼성전자 Q9000 에어컨,https://www.coupang.com/vp/products/7080497500
삼성 갤럭시 S24U 자급제 256gb,https://www.coupang.com/vp/products/7735827059
카멜 QHD 프리즘 포터블 모니터,https://www.coupang.com/vp/products/6996866813?itemId=17144648022&vendorItemId=84317439146&pickType=COU_PICK&q=%ED%8F%AC%ED%84%B0%EB%B8%94+%EB%AA%A8%EB%8B%88%ED%84%B0&itemsCount=36&searchId=c02050ad3de546529fc4c69ac10fd4b1&rank=7
소니 WH-1000XM5,https://www.coupang.com/vp/products/6557157200?itemId=14662956952&vendorItemId=81904097255&q=%EC%86%8C%EB%8B%88+%ED%97%A4%EB%93%9C%EC%85%8B&itemsCount=36&searchId=ca83ca1dd7d347e7a97e9c6d15119adf&rank=0&isAddedCart=
TCL 4K UHD HDR 스마트 TV,https://www.coupang.com/vp/products/8120991496?itemId=23052623359&vendorItemId=90086285359&sourceType=CATEGORY&categoryId=178354&isAddedCart=
따스앤 벽걸이 난방기,https://www.coupang.com/vp/products/7699563321
로랜텍 삼성 C to C PD PPS 초고속 충전케이블,https://www.coupang.com/vp/products/5548364343?vendorItemId=76046361163&sourceType=sdp_bottom_promotion&searchId=feed-1b06c717e6fd466aa6030401aaa4db1e-gw_promotion&isAddedCart=
BRUNO 헤어드라이어 BH-2301,https://www.coupang.com/vp/products/7551093123?itemId=19872381065&vendorItemId=86973072066&sourceType=CATEGORY&categoryId=520025&isAddedCart=
BRUNO 고데기 BHS-2207BL,https://www.coupang.com/vp/products/6928131230?itemId=16755013349&vendorItemId=83936563727&sourceType=CATEGORY&categoryId=520026&isAddedCart=
플라이코 전기면도기,https://www.coupang.com/vp/products/7853437982?itemId=21412375289&vendorItemId=88468696821&sourceType=CATEGORY&categoryId=519956&isAddedCart=
갈란츠 미니 1도어 냉장고,https://www.coupang.com/vp/products/7824173886?itemId=21260491186&vendorItemId=88320842006&sourceType=CATEGORY&categoryId=519979&isAddedCart=
"샤오미 스마트 공기청정기4 ",https://www.coupang.com/vp/products/6373006409?itemId=13507234372&vendorItemId=80761320910&pickType=COU_PICK&q=%EC%83%A4%EC%98%A4%EB%AF%B8+%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B04&itemsCount=36&searchId=a04f269fb65244238ef3d756576dd4e2&rank=0&isAddedCart=
IMMU 핸디형 스팀다리미,https://www.coupang.com/vp/products/7734852515?itemId=20794392055&vendorItemId=87863891528&sourceType=CATEGORY&categoryId=519991&isAddedCart=
루컴즈 세탁기 W070W01-W,https://www.coupang.com/vp/products/7912801729?itemId=21717284649&vendorItemId=88766562619&sourceType=srp_product_ads&clickEventId=81148d00-7edb-11ef-9ded-581ff877c1e3&korePlacement=15&koreSubPlacement=1&q=%EC%84%B8%ED%83%81%EA%B8%B0&itemsCount=36&searchId=0e2d6ba926554ea686e7e9bc48e8b010&rank=0&isAddedCart=
린나이 전자레인지 다이얼 버튼식 20L,https://www.coupang.com/vp/products/8037345560?itemId=22491691586&vendorItemId=89533889245&q=%EC%A0%84%EC%9E%90%EB%A0%88%EC%9D%B8%EC%A7%80&itemsCount=36&searchId=77020959105b435a8706ebadba344de4&rank=13&isAddedCart=
